company_industry,mapped_industry
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Public Relations and Communications Services,"media, communications, public relations, advertising, marketing, media services, content creation, broadcasting"
Design Services,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Business Consulting and Services,"consulting, advisory, consultant, business consulting, management consulting, strategy consulting, professional services"
"Entertainment Providers,  Hospitality General,  Leisure Facilities,  Hospitality,  Other Commercial Services","real estate, property, housing, realty, real estate services, property management, real estate investment, commercial real estate"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
"Software,  Software Development,  Content & Collaboration Software,  Ad Network,  Search,  Software Development & Design,  Advertising,  Ads,  Artificial Intelligence,  Machine Learning,  Mobile,  Data and Analytics,  Android,  Science and Engineering,  Online Video,  Apps,  Blogging Platforms,  Content and Publishing,  Virtual Reality,  Media and Entertainment,  Collaboration,  Email,  Information Technology,  Internet Services,  Messaging and Telecommunications,  Enterprise Software,  Search Engine,  Video Streaming,  Video","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Broadcast Media Production and Distribution,"entertainment, media, film, music, theater, broadcasting, publishing, content production, multimedia"
"Software Development,  Information Collection & Delivery,  Innovation,  Media & Internet,  Internet,  Technology,  Advertising,  Media,  Consumer Services,  Search,  User Experience,  Seo,  Online Advertising,  Internet Marketing","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
"Broadcast Media Production and Distribution,  Television Stations,  Media,  Broadcasting,  Sports,  Media & Internet","entertainment, media, film, music, theater, broadcasting, publishing, content production, multimedia"
"Business Services,  Information Technology and Services","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
IT Services and IT Consulting,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Truck Transportation,"maritime, transportation, shipping, logistics, freight, ocean transport, sea transport"
E-Learning Providers,"education, school, university, college, learning, online education, e-learning, educational services"
Investment Management,"finance, banking, financial, investment, insurance, wealth management, asset management, financial planning, fintech, financial technology, Financial Services, venture, capital, venture capital, equity"
Professional Training and Coaching,"consulting, advisory, consultant, business consulting, management consulting, strategy consulting, professional services"
Events Services,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Pharmaceutical Manufacturing,"health, medical, hospital, clinic, healthcare, patient care, medical services, pharmaceutical, biomedical, biotech, biotechnology, life sciences"
Pharmaceutical Manufacturing,"health, medical, hospital, clinic, healthcare, patient care, medical services, pharmaceutical, biomedical, biotech, biotechnology, life sciences"
"Drug Stores & Pharmacies,  Retail","retail, shopping, online shopping, ecommerce, store, online store, consumer goods, retail sales, cosmetics"
Government Administration,"government, public sector, municipal, state, federal, public administration, government services, public policy"
"Venture Capital and Private Equity Principals,  Finance General,  Business Development,  Web 2.0,  Finance,  Venture Capital,  Mobile,  Financial Services,  Gaming,  Lending and Investments,  CleanTech,  New Energy,  Semantic,  New Media,  Social Media,  Retail,  Automotive,  Bitcoin,  Internet of Things,  Payment Security,  Connected Home","finance, banking, financial, investment, insurance, wealth management, asset management, financial planning, fintech, financial technology, Financial Services, venture, capital, venture capital, equity"
Online Media,"retail, shopping, online shopping, ecommerce, store, online store, consumer goods, retail sales, cosmetics"
Non-profit Organization Management,"finance, banking, financial, investment, insurance, wealth management, asset management, financial planning, fintech, financial technology, Financial Services, venture, capital, venture capital, equity"
"Health, Wellness and Fitness",Other
"IT Services and IT Consulting,  Consumer Services General,  Information Technology,  Consumer Services,  Internet,  Internet Services,  Software","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Telecommunications,"telecommunications, telecom, communication, network, wireless, broadband, internet services, mobile services"
IT Services and IT Consulting,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Computer Networking Products,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Telecommunications,"telecommunications, telecom, communication, network, wireless, broadband, internet services, mobile services"
"IT Services and IT Consulting,  Custom Software & Technical Consulting,  Wholesale data center developer,  Software,  Green data centers,  Advanced electrical and mechanical designs,  Dedicated substations","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Telecommunications,"telecommunications, telecom, communication, network, wireless, broadband, internet services, mobile services"
Telecommunications,"telecommunications, telecom, communication, network, wireless, broadband, internet services, mobile services"
Computers and Electronics Manufacturing,"manufacturing, production, factory, industrial, manufacturing plant, assembly line, mass production"
"Government,  International Affairs,  The United States'​ lead foreign affairs agency,  Government and Military,  Best Places to Work in the Federal Government,  Non Profit,  Careers.State.Gov","government, public sector, municipal, state, federal, public administration, government services, public policy"
"Software,  Software Development,  Content & Collaboration Software,  Ad Network,  Search,  Software Development & Design,  Advertising,  Ads,  Artificial Intelligence,  Machine Learning,  Mobile,  Data and Analytics,  Android,  Science and Engineering,  Online Video,  Apps,  Blogging Platforms,  Content and Publishing,  Virtual Reality,  Media and Entertainment,  Collaboration,  Email,  Information Technology,  Internet Services,  Messaging and Telecommunications,  Enterprise Software,  Search Engine,  Video Streaming,  Video","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
IT Services and IT Consulting,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Law Enforcement,"legal services, law, law firm, attorney, legal consulting, litigation, legal advice, corporate law"
"Book and Periodical Publishing,  Information Collection & Delivery,  EdTech,  Digital Reference Works,  Media & Internet,  Education,  Digital Education Products,  Software,  School Curriculum,  Publishing,  Mobile Educational Apps,  Content and Publishing,  Media and Entertainment","entertainment, media, film, music, theater, broadcasting, publishing, content production, multimedia"
Book and Periodical Publishing,"entertainment, media, film, music, theater, broadcasting, publishing, content production, multimedia"
Online Audio and Video Media,"retail, shopping, online shopping, ecommerce, store, online store, consumer goods, retail sales, cosmetics"
"Transportation, Logistics, Supply Chain and Storage","transportation, logistics, freight, delivery, shipping, transport services, cargo, supply chain"
Wholesale Building Materials,"construction, building, contractor, infrastructure, civil engineering, construction services, real estate development"
Telecommunications,"telecommunications, telecom, communication, network, wireless, broadband, internet services, mobile services"
IT Services and IT Consulting,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
"Appliances, Electrical, and Electronics Manufacturing","manufacturing, production, factory, industrial, manufacturing plant, assembly line, mass production"
Maritime Transportation,"maritime, transportation, shipping, logistics, freight, ocean transport, sea transport"
Manufacturing,"manufacturing, production, factory, industrial, manufacturing plant, assembly line, mass production"
"Appliances, Electrical, and Electronics Manufacturing,  Electricity, Oil & Gas,  Hardware,  POWER： OPGW, Conductor, Fittings, Power cable,  Energy, Utilities & Waste Treatment,  Telecommunications,  TELECOM： Optical fiber, Optical fiber cable, Radio Frequency cab,  OIL&GAS： Submarine cable,  NEW ENERGY： Lithium battery, Solor backsheet, PV station, Juncti","energy, oil, gas, renewable, power, electricity, solar energy, wind energy, energy services, energy production"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
"Appliances, Electrical, and Electronics Manufacturing","manufacturing, production, factory, industrial, manufacturing plant, assembly line, mass production"
"Telecommunications,  Telecommunications General","telecommunications, telecom, communication, network, wireless, broadband, internet services, mobile services"
Shipbuilding,Other
Architecture and Planning,"finance, banking, financial, investment, insurance, wealth management, asset management, financial planning, fintech, financial technology, Financial Services, venture, capital, venture capital, equity"
Entertainment Providers,"entertainment, media, film, music, theater, broadcasting, publishing, content production, multimedia"
Utilities,Other
Hospitals and Health Care,"health, medical, hospital, clinic, healthcare, patient care, medical services, pharmaceutical, biomedical, biotech, biotechnology, life sciences"
Airlines and Aviation,"aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
Motor Vehicle Manufacturing,"automotive, car, vehicle, auto, automobile, car manufacturing, vehicle production, auto services"
Motor Vehicle Manufacturing,"automotive, car, vehicle, auto, automobile, car manufacturing, vehicle production, auto services"
Manufacturing,"manufacturing, production, factory, industrial, manufacturing plant, assembly line, mass production"
"Online Audio and Video Media,  Media & Internet General,  Education,  Language,  Media & Internet,  Mobile,  Learning,  Technology","entertainment, media, film, music, theater, broadcasting, publishing, content production, multimedia"
Hospitals and Health Care,"health, medical, hospital, clinic, healthcare, patient care, medical services, pharmaceutical, biomedical, biotech, biotechnology, life sciences"
Telecommunications,"telecommunications, telecom, communication, network, wireless, broadband, internet services, mobile services"
Staffing and Recruiting,"staffing, recruiting, recruitment, hiring, talent acquisition, HR services, human resources, employment services"
Primary and Secondary Education,"education, school, university, college, learning, online education, e-learning, educational services"
"Appliances, Electrical, and Electronics Manufacturing","manufacturing, production, factory, industrial, manufacturing plant, assembly line, mass production"
"Education,  Higher Education,  Colleges & Universities,  E-Learning,  Software","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
"Book and Periodical Publishing,  Media & Internet General,  Media & Internet","telecommunications, telecom, communication, network, wireless, broadband, internet services, mobile services"
Telecommunications,"telecommunications, telecom, communication, network, wireless, broadband, internet services, mobile services"
Telecommunications,"telecommunications, telecom, communication, network, wireless, broadband, internet services, mobile services"
Telecommunications,"telecommunications, telecom, communication, network, wireless, broadband, internet services, mobile services"
Retail,"retail, shopping, online shopping, ecommerce, store, online store, consumer goods, retail sales, cosmetics"
Telecommunications,"telecommunications, telecom, communication, network, wireless, broadband, internet services, mobile services"
"Publishing,  Book and Periodical Publishing,  Media & Internet,  Content and Publishing,  Media and Entertainment","entertainment, media, film, music, theater, broadcasting, publishing, content production, multimedia"
"Education Management,  Colleges & Universities,  Education","education, school, university, college, learning, online education, e-learning, educational services"
"Entertainment Providers,  Hospitality General,  Leisure Facilities,  Hospitality,  Other Commercial Services","real estate, property, housing, realty, real estate services, property management, real estate investment, commercial real estate"
"Software,  Software Development,  Content & Collaboration Software,  Ad Network,  Search,  Software Development & Design,  Advertising,  Ads,  Artificial Intelligence,  Machine Learning,  Mobile,  Data and Analytics,  Android,  Science and Engineering,  Online Video,  Apps,  Blogging Platforms,  Content and Publishing,  Virtual Reality,  Media and Entertainment,  Collaboration,  Email,  Information Technology,  Internet Services,  Messaging and Telecommunications,  Enterprise Software,  Search Engine,  Video Streaming,  Video","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Pharmaceutical Manufacturing,"health, medical, hospital, clinic, healthcare, patient care, medical services, pharmaceutical, biomedical, biotech, biotechnology, life sciences"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Newspaper Publishing,"entertainment, media, film, music, theater, broadcasting, publishing, content production, multimedia"
"Technology, Information and Internet","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Retail,"retail, shopping, online shopping, ecommerce, store, online store, consumer goods, retail sales, cosmetics"
Non-profit Organizations,Other
"Technology, Information and Internet","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Book and Periodical Publishing,"entertainment, media, film, music, theater, broadcasting, publishing, content production, multimedia"
Higher Education,"education, school, university, college, learning, online education, e-learning, educational services"
Advertising Services,"media, communications, public relations, advertising, marketing, media services, content creation, broadcasting"
"Government Administration,  Cities, Towns & Municipalities General,  Cities, Towns & Municipalities","government, public sector, municipal, state, federal, public administration, government services, public policy"
"Entertainment Providers,  Hospitality General,  Leisure Facilities,  Hospitality,  Other Commercial Services","real estate, property, housing, realty, real estate services, property management, real estate investment, commercial real estate"
"Software,  Software Development,  Content & Collaboration Software,  Ad Network,  Search,  Software Development & Design,  Advertising,  Ads,  Artificial Intelligence,  Machine Learning,  Mobile,  Data and Analytics,  Android,  Science and Engineering,  Online Video,  Apps,  Blogging Platforms,  Content and Publishing,  Virtual Reality,  Media and Entertainment,  Collaboration,  Email,  Information Technology,  Internet Services,  Messaging and Telecommunications,  Enterprise Software,  Search Engine,  Video Streaming,  Video","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Pharmaceutical Manufacturing,"health, medical, hospital, clinic, healthcare, patient care, medical services, pharmaceutical, biomedical, biotech, biotechnology, life sciences"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Newspaper Publishing,"entertainment, media, film, music, theater, broadcasting, publishing, content production, multimedia"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
"Technology, Information and Internet","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
"Book and Periodical Publishing,  Information Collection & Delivery,  EdTech,  Digital Reference Works,  Media & Internet,  Education,  Digital Education Products,  Software,  School Curriculum,  Publishing,  Mobile Educational Apps,  Content and Publishing,  Media and Entertainment","entertainment, media, film, music, theater, broadcasting, publishing, content production, multimedia"
IT Services and IT Consulting,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Graphic Design,Other
"TV,  Entertainment Providers,  Information Collection & Delivery,  Content,  Movies,  Media & Internet,  Media and Entertainment,  Celebs,  Video","entertainment, media, film, music, theater, broadcasting, publishing, content production, multimedia"
Civic and Social Organizations,"nonprofit, charity, ngo, non-governmental organization, social services, philanthropy, volunteer services"
Photography,Other
IT Services and IT Consulting,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Government Administration,"government, public sector, municipal, state, federal, public administration, government services, public policy"
Business Consulting and Services,"consulting, advisory, consultant, business consulting, management consulting, strategy consulting, professional services"
"Software,  Software Development,  Content & Collaboration Software,  Ad Network,  Search,  Software Development & Design,  Advertising,  Ads,  Artificial Intelligence,  Machine Learning,  Mobile,  Data and Analytics,  Android,  Science and Engineering,  Online Video,  Apps,  Blogging Platforms,  Content and Publishing,  Virtual Reality,  Media and Entertainment,  Collaboration,  Email,  Information Technology,  Internet Services,  Messaging and Telecommunications,  Enterprise Software,  Search Engine,  Video Streaming,  Video","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Events Services,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
"Computer Software,  Industrial Machinery & Equipment,  Enterprise Asset Management,  Internet,  Manufacturing,  IT/OT Convergence,  Utilities,  Mobile Workforce Management,  Electrical/Electronic Manufacturing,  Energy Markets,  Utilities - Generation, Transmission & Distribution,  Mining,  Outage Lifecycle Management,  Predictive Analytics,  Process Safety Managment,  Asset Performance Management","finance, banking, financial, investment, insurance, wealth management, asset management, financial planning, fintech, financial technology, Financial Services, venture, capital, venture capital, equity"
Research Services,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
IT Services and IT Consulting,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
International Trade and Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Airlines and Aviation,"aerospace, aviation, aircraft, space, defense, aerospace engineering, aerospace manufacturing, space exploration"
Industrial Machinery Manufacturing,"manufacturing, production, factory, industrial, manufacturing plant, assembly line, mass production"
Wellness and Fitness Services,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
"Food and Beverage Services,  Food and Beverage,  Beverages,  Organic Food","food, beverage, restaurant, cafe, drink, food services, hospitality, catering, food production, beverage production"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Hospitals and Health Care,"health, medical, hospital, clinic, healthcare, patient care, medical services, pharmaceutical, biomedical, biotech, biotechnology, life sciences"
Manufacturing,"manufacturing, production, factory, industrial, manufacturing plant, assembly line, mass production"
Automation Machinery Manufacturing,"manufacturing, production, factory, industrial, manufacturing plant, assembly line, mass production"
Government Administration,"government, public sector, municipal, state, federal, public administration, government services, public policy"
Renewable Energy Power Generation,"energy, oil, gas, renewable, power, electricity, solar energy, wind energy, energy services, energy production"
Legislative Offices,Other
Government Administration,"government, public sector, municipal, state, federal, public administration, government services, public policy"
Government Administration,"government, public sector, municipal, state, federal, public administration, government services, public policy"
"Cities, Towns & Municipalities,  Government Administration,  Education,  Employment Law Enforcement,  Alternative Dispute Resolution,  Government,  Mediation - Alternative Dispute Resolution,  Human Resources,  Government and Military,  Training and Technical Assistance,  Technical Support,  Outreach and Education","staffing, recruiting, recruitment, hiring, talent acquisition, HR services, human resources, employment services"
"Government,  Government Administration,  Government and Military,  National Security,  Security,  Privacy and Security","government, public sector, municipal, state, federal, public administration, government services, public policy"
Higher Education,"education, school, university, college, learning, online education, e-learning, educational services"
Semiconductors,Other
IT Services and IT Consulting,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Consumer Electronics,"retail, shopping, online shopping, ecommerce, store, online store, consumer goods, retail sales, cosmetics"
"Manufacturing General,  Industrial Supplies and Parts,  Manufacturing","manufacturing, production, factory, industrial, manufacturing plant, assembly line, mass production"
Industrial Machinery Manufacturing,"manufacturing, production, factory, industrial, manufacturing plant, assembly line, mass production"
Industrial Machinery Manufacturing,"manufacturing, production, factory, industrial, manufacturing plant, assembly line, mass production"
"Hospitality,  Lodging & Resorts,  Distributors/Wholesale,  Travel and Tourism,  Retail,  Commerce and Shopping","hospitality, hotel, resort, travel, tourism, lodging, accommodation services, hospitality management"
"Higher Education,  Grocery Retail,  Retail","retail, shopping, online shopping, ecommerce, store, online store, consumer goods, retail sales, cosmetics"
"Higher Education,  Culinary Arts Degrees,  Culinary Science Degrees,  Baking and Pastry Arts Degrees,  Wine and Beverage Certification,  CIAProChef Certification,  Industry Leadership Conferences,  Research and Development,  Consulting","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Civic and Social Organizations,"nonprofit, charity, ngo, non-governmental organization, social services, philanthropy, volunteer services"
Food and Beverage Services,"food, beverage, restaurant, cafe, drink, food services, hospitality, catering, food production, beverage production"
Advertising Services,"media, communications, public relations, advertising, marketing, media services, content creation, broadcasting"
"Education Management,  Training,  Education and Training Services (B2B),  Culinary Arts,  Education,  Pastry Arts,  Farm To Table® Experience","education, school, university, college, learning, online education, e-learning, educational services"
Education,"education, school, university, college, learning, online education, e-learning, educational services"
"Technology, Information and Internet","tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Food and Beverage Manufacturing,"food, beverage, restaurant, cafe, drink, food services, hospitality, catering, food production, beverage production"
"Food and Beverage Services,  Grocery Retail,  Retail","food, beverage, restaurant, cafe, drink, food services, hospitality, catering, food production, beverage production"
Food and Beverage Services,"food, beverage, restaurant, cafe, drink, food services, hospitality, catering, food production, beverage production"
"Public Policy Offices,  Charitable Organizations & Foundations,  Health,  Organizations,  Climate Change,  Sustainability,  Nutrition","government, public sector, municipal, state, federal, public administration, government services, public policy"
Machinery Manufacturing,"manufacturing, production, factory, industrial, manufacturing plant, assembly line, mass production"
Manufacturing,"manufacturing, production, factory, industrial, manufacturing plant, assembly line, mass production"
Machinery Manufacturing,"manufacturing, production, factory, industrial, manufacturing plant, assembly line, mass production"
Hospitality,"food, beverage, restaurant, cafe, drink, food services, hospitality, catering, food production, beverage production"
"Internet Service Providers, Website Hosting & Internet-Related Services,  Telecommunications","telecommunications, telecom, communication, network, wireless, broadband, internet services, mobile services"
Farming,"agriculture, farming, crop, agro, agribusiness, agricultural production, livestock, dairy farming"
Food and Beverage Services,"food, beverage, restaurant, cafe, drink, food services, hospitality, catering, food production, beverage production"
"Book and Periodical Publishing,  Media & Internet General,  Media & Internet","telecommunications, telecom, communication, network, wireless, broadband, internet services, mobile services"
"Grocery Retail,  Retail","retail, shopping, online shopping, ecommerce, store, online store, consumer goods, retail sales, cosmetics"
Non-profit Organizations,Other
Business Consulting and Services,"consulting, advisory, consultant, business consulting, management consulting, strategy consulting, professional services"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
"Movies and Sound Recording,  Broadcasting,  Media & Internet","telecommunications, telecom, communication, network, wireless, broadband, internet services, mobile services"
,Other
"Telecommunications,  Cable & Satellite,  Hosted VoIP,  Vehicle CCTV,  Business Mobiles,  Vehicle Telematics,  Business Energy","consulting, advisory, consultant, business consulting, management consulting, strategy consulting, professional services"
"Consumer Services,  Food, Beverages & Tobacco,  Delivery Service,  Food Products,  Sourcing fresh and organic ingredients,  Manufacturing,  Transportation,  Application Software,  Creating tasty and balanced recipes,  Food and Beverage,  Delivering always for free,  Food Delivery,  Valuing customers'​ feedback,  Subscription Service","food, beverage, restaurant, cafe, drink, food services, hospitality, catering, food production, beverage production"
Consumer Services,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Advertising Services,"media, communications, public relations, advertising, marketing, media services, content creation, broadcasting"
Information Services,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Events Services,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Machinery Manufacturing,"manufacturing, production, factory, industrial, manufacturing plant, assembly line, mass production"
,Other
"Sporting Goods Manufacturing,  Manufacturing General,  Other Commercial Products,  Manufacturing","manufacturing, production, factory, industrial, manufacturing plant, assembly line, mass production"
Civic and Social Organizations,"nonprofit, charity, ngo, non-governmental organization, social services, philanthropy, volunteer services"
International Affairs,Other
Hospitality,"food, beverage, restaurant, cafe, drink, food services, hospitality, catering, food production, beverage production"
Armed Forces,Other
Food and Beverage Services,"food, beverage, restaurant, cafe, drink, food services, hospitality, catering, food production, beverage production"
International Trade and Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Professional Services,"consulting, advisory, consultant, business consulting, management consulting, strategy consulting, professional services"
Software Development,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Food and Beverage Services,"food, beverage, restaurant, cafe, drink, food services, hospitality, catering, food production, beverage production"
Machinery Manufacturing,"manufacturing, production, factory, industrial, manufacturing plant, assembly line, mass production"
"Textile Manufacturing,  Manufacturing General,  Manufacturing","manufacturing, production, factory, industrial, manufacturing plant, assembly line, mass production"
Food and Beverage Manufacturing,"food, beverage, restaurant, cafe, drink, food services, hospitality, catering, food production, beverage production"
Retail,"retail, shopping, online shopping, ecommerce, store, online store, consumer goods, retail sales, cosmetics"
Retail,"retail, shopping, online shopping, ecommerce, store, online store, consumer goods, retail sales, cosmetics"
Computer Hardware Manufacturing,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Motor Vehicle Manufacturing,"automotive, car, vehicle, auto, automobile, car manufacturing, vehicle production, auto services"
Motor Vehicle Manufacturing,"automotive, car, vehicle, auto, automobile, car manufacturing, vehicle production, auto services"
Truck Transportation,"maritime, transportation, shipping, logistics, freight, ocean transport, sea transport"
Government Administration,"government, public sector, municipal, state, federal, public administration, government services, public policy"
"Travel Arrangements,  Travel Agencies & Services,  Tourism,  Consumer Services,  Travel and Tourism,  Travel","hospitality, hotel, resort, travel, tourism, lodging, accommodation services, hospitality management"
Travel Arrangements,"hospitality, hotel, resort, travel, tourism, lodging, accommodation services, hospitality management"
,Other
Public Policy,"government, public sector, municipal, state, federal, public administration, government services, public policy"
IT Services and IT Consulting,"tech, it, technology, technology services, information technology, software development, IT consulting, IT services, cybersecurity, cloud computing, data analytics, AI, artificial intelligence, machine learning, network security, computer networks"
Architecture and Planning,"finance, banking, financial, investment, insurance, wealth management, asset management, financial planning, fintech, financial technology, Financial Services, venture, capital, venture capital, equity"
Retail Office Equipment,"retail, shopping, online shopping, ecommerce, store, online store, consumer goods, retail sales, cosmetics"
"Mental Health Care,  Hospitals & Clinics,  Applied Behavioral Analysis for Autism Spectrum therapy,  Healthcare,  Speech Therapy,  Diagnostic Evaluations,  Psychotherapy,  Occupational Therapy,  Individual Therapy","health, medical, hospital, clinic, healthcare, patient care, medical services, pharmaceutical, biomedical, biotech, biotechnology, life sciences"
Biotechnology Research,"health, medical, hospital, clinic, healthcare, patient care, medical services, pharmaceutical, biomedical, biotech, biotechnology, life sciences"
